Time,Light
1221,94
1222,346
1223,94
1224,346
1225,94
1226,346
1227,95
1228,346
1229,95
1230,346
1231,95
1232,346
1233,95
1234,346
1235,95
1236,346
1237,96
1238,347
1239,96
1240,346
1241,96
1242,346
1243,96
1244,347
1245,97
1246,346
1247,97
1248,346
1249,98
1250,346
1251,346
1252,346
1253,346
1254,347
1255,346
1256,346
1257,346
1258,346
1259,347
1260,347
1261,346
1262,93
1263,346
1264,94
1265,346
1266,93
1267,346
1268,94
1269,346
1270,94
1271,346
1272,94
1273,346
1274,94
1275,346
1276,95
1277,347
1278,95
1279,346
1280,95
1281,346
1282,95
1283,346
1284,95
1285,346
1286,95
1287,346
1288,96
1289,347
1290,96
1291,346
1292,96
1293,346
1294,97
1295,346
1296,97
1297,346
1298,96
1299,346
1300,97
1301,346
1302,346
1303,346
1304,346
1305,347
1306,346
1307,346
1308,346
1309,346
1310,347
1311,93
1312,346
1313,92
1314,346
1315,93
1316,346
1317,93
1318,346
1319,93
1320,346
1321,93
1322,346
1323,94
1324,346
1325,93
1326,346
1327,93
1328,346
1329,93
1330,347
1331,93
1332,347
1333,94
1334,346
1335,94
1336,346
1337,94
1338,346
1339,94
1340,346
1341,95
1342,346
1343,95
1344,346
1345,96
1346,346
1347,96
1348,346
1349,95
1350,346
1351,95
1352,346
1353,96
1354,347
1355,347
1356,346
1357,346
1358,346
1359,346
1360,91
1361,346
1362,91
1363,346
1364,91
1365,346
1366,90
1367,346
1368,91
1369,346
1370,91
1371,346
1372,92
1373,346
1374,91
1375,346
1376,92
1377,346
1378,92
1379,346
1380,92
1381,346
1382,92
1383,346
1384,93
1385,346
1386,92
1387,346
1388,92
1389,346
1390,92
1391,346
1392,93
1393,346
1394,93
1395,346
1396,93
1397,346
1398,93
1399,346
1400,93
1401,347
1402,94
1403,346
1404,94
1405,346
1406,94
1407,346
1408,346
1409,89
1410,346
1411,346
1412,346
1413,346
1414,346
1415,90
1416,346
1417,89
1418,346
1419,90
1420,346
1421,90
1422,347
1423,91
1424,346
1425,90
1426,346
1427,90
1428,346
1429,90
1430,346
1431,91
1432,347
1433,90
1434,346
1435,90
1436,346
1437,90
1438,346
1439,91
1440,346
1441,90
1442,346
1443,91
1444,346
1445,91
1446,347
1447,91
1448,346
1449,92
1450,347
1451,92
1452,346
1453,93
1454,346
1455,92
1456,346
1457,92
1458,88
1459,346
1460,346
1461,346
1462,88
1463,346
1464,87
1465,346
1466,87
1467,346
1468,87
1469,346
1470,88
1471,346
1472,88
1473,346
1474,88
1475,346
1476,88
1477,346
1478,88
1479,347
1480,89
1481,346
1482,88
1483,347
1484,88
1485,346
1486,88
1487,346
1488,89
1489,346
1490,89
1491,346
1492,89
1493,346
1494,89
1495,346
1496,89
1497,346
1498,90
1499,346
1500,89
1501,346
1502,90
1503,346
1504,90
1505,347
1506,91
1507,85
1508,90
1509,346
1510,90
1511,346
1512,346
1513,85
1514,346
1515,86
1516,346
1517,86
1518,346
1519,86
1520,346
1521,86
1522,346
1523,86
1524,346
1525,86
1526,346
1527,87
1528,346
1529,87
1530,346
1531,87
1532,346
1533,87
1534,346
1535,87
1536,346
1537,87
1538,346
1539,87
1540,346
1541,87
1542,346
1543,87
1544,347
1545,87
1546,346
1547,87
1548,346
1549,87
1550,346
1551,87
1552,346
1553,87
1554,346
1555,87
1556,346
1557,87
1558,346
1559,87
1560,84
1561,88
1562,84
1563,88
1564,84
1565,346
1566,84
1567,346
1568,84
1569,346
1570,85
1571,346
1572,84
1573,346
1574,84
1575,346
1576,84
1577,346
1578,84
1579,346
1580,85
1581,346
1582,85
1583,346
1584,84
1585,346
1586,84
1587,346
1588,85
1589,346
1590,85
1591,346
1592,84
1593,346
1594,84
1595,346
1596,85
1597,346
1598,85
1599,346
1600,85
1601,346
1602,85
1603,346
1604,85
1605,346
1606,85
1607,82
1608,85
1609,81
1610,85
1611,82
1612,85
1613,82
1614,86
1615,82
1616,86
1617,82
1618,85
1619,82
1620,346
1621,82
1622,86
1623,82
1624,347
1625,82
1626,346
1627,82
1628,346
1629,82
1630,346
1631,83
1632,346
