Time,Light,Avg
14955,420,493
14971,336,500
14986,210,482
15002,180,456
15018,156,413
15033,125,364
15049,201,324
15064,236,287
15080,335,263
15096,464,264
15111,506,274
15127,573,303
15142,636,346
15158,593,387
15174,554,434
15189,512,472
15205,378,489
15220,338,496
15236,210,481
15252,142,448
15267,157,412
15283,122,363
15298,161,317
15314,286,288
15330,346,265
15345,425,258
15361,552,276
15376,579,302
15392,601,341
15408,632,387
15423,554,425
15439,478,460
15454,383,480
15470,299,480
15486,217,465
15501,148,435
15517,118,392
15532,132,350
15548,171,308
15564,252,275
15579,385,259
15595,433,256
15610,516,271
15626,619,304
15642,605,343
15657,591,390
15673,588,436
15688,480,466
15704,384,489
15720,334,496
15735,217,477
15751,188,450
15766,157,410
15782,131,360
15798,211,321
15813,244,288
15829,342,265
15844,467,267
15860,509,278
15876,575,304
15891,640,347
15907,585,389
15922,584,436
15938,512,472
15954,380,487
15969,329,493
15985,250,481
16000,140,446
16016,155,409
16032,166,367
16047,170,321
16063,283,291
16078,379,269
16094,432,263
16110,549,282
16125,574,309
16141,601,345
16156,626,395
16172,550,433
16188,465,467
16203,415,490
16219,289,488
16234,211,476
16250,180,449
16266,120,404
16281,164,362
16297,169,320
16312,251,284
16328,390,270
16344,431,265
16359,517,276
16375,620,312
16390,604,348
16406,588,391
16422,587,437
16437,468,466
16453,380,485
16468,331,486
16484,211,467
16500,137,435
16515,123,396
16531,127,346
16546,175,304
16562,258,272
16578,356,250
16593,478,253
16609,521,269
16624,584,301
16640,644,344
16656,591,391
16671,549,432
16687,509,468
16702,380,487
16718,293,488
16734,246,476
16749,136,440
16765,121,404
16780,164,361
16796,170,315
16812,298,286
16827,394,268
16843,441,264
16858,554,284
16874,618,316
16890,602,352
16905,623,402
16921,547,439
16936,462,467
16952,407,490
16968,284,486
16983,244,474
16999,173,444
17014,116,400
17030,160,357
17046,208,318
17061,252,282
17077,386,269
17092,474,272
17108,512,284
17124,618,320
17139,638,357
17155,587,400
17170,584,445
17186,462,473
17202,369,488
17217,325,491
17233,201,471
17248,130,439
17264,158,401
17280,130,351
17295,169,313
17311,297,281
17326,355,259
17342,474,264
17358,520,280
17373,588,309
17389,635,353
17404,586,396
17420,549,434
17436,500,471
17451,370,486
17467,288,486
17482,242,474
17498,133,438
17514,117,398
17529,165,352
17545,177,305
17560,260,274
17576,356,257
17592,441,253
17607,524,269
