Time,Light,Avg
10484,863,779
10500,768,872
10515,868,844
10531,852,784
10547,770,867
10562,865,813
10578,830,789
10593,773,859
10609,862,727
10625,787,794
10640,778,850
10656,854,708
10671,698,802
10687,788,839
10703,846,717
10718,704,818
10734,801,825
10749,836,729
10765,719,841
10781,820,805
10796,823,749
10812,737,856
10827,850,785
10843,810,775
10859,761,858
10874,862,752
10890,796,802
10905,789,858
10921,862,735
10937,779,834
10952,819,858
10968,862,760
10983,752,867
10999,851,860
11015,863,786
11030,778,876
11046,874,860
11061,865,815
11077,802,877
11093,878,862
11108,867,841
11124,827,878
11139,880,861
11155,866,867
11171,851,878
11186,880,859
11202,865,880
11217,876,879
11233,880,852
11249,861,883
11264,883,878
11280,879,832
11295,849,882
11311,883,875
11327,876,834
11342,825,881
11358,882,869
11373,872,847
11389,833,878
11405,879,858
11420,863,856
11436,842,874
11451,875,831
11467,846,866
11483,849,868
11498,870,777
11514,802,872
11529,856,858
11545,862,776
11561,764,868
11576,864,841
11592,849,781
11607,767,865
11623,864,807
11639,827,783
11654,769,858
11670,861,719
11685,782,788
11701,775,849
11717,854,706
11732,695,800
11748,785,839
11763,846,717
11779,704,818
11795,800,825
11810,836,729
11826,717,841
11841,822,808
11857,825,751
11873,738,857
11888,852,786
11904,813,776
11919,766,859
11935,862,763
11951,799,805
11966,792,859
11982,863,739
11997,787,837
12013,822,860
12029,864,763
12044,763,870
12060,856,861
12075,865,790
12091,781,878
12107,876,863
12122,867,817
12138,804,878
12153,878,863
12169,868,844
12185,829,878
12200,879,863
12216,867,869
12231,853,879
12247,880,861
12263,867,880
12278,876,879
12294,880,852
12309,861,883
12325,883,877
12341,879,830
12356,848,882
12372,883,874
12387,876,833
12403,824,880
12419,881,868
12434,871,844
12450,830,878
12465,878,856
12481,862,853
12497,838,872
12512,875,826
12528,843,861
12543,845,867
12559,869,772
12575,788,871
12590,852,856
12606,860,774
12621,760,867
12637,860,837
12653,845,777
12668,762,865
12684,863,804
12699,823,780
12715,767,857
12731,860,701
12746,777,786
12762,773,848
12777,853,705
12793,694,800
12809,783,837
12824,844,716
12840,704,816
12855,800,825
12871,836,731
12887,720,844
12902,824,811
12918,826,753
12933,741,857
12949,855,797
12965,817,779
12980,767,860
12996,864,775
13011,809,808
13027,795,861
13043,864,743
13058,796,842
13074,826,862
13089,864,767
13105,782,872
13121,859,863
13136,867,794
13152,784,877
13167,879,864
13183,868,820
13199,808,878
13214,879,865
13230,869,846
13245,832,879
13261,880,865
13277,869,867
13292,854,879
13308,880,861
13323,867,880
13339,877,878
13355,879,853
13370,861,883
13386,883,877
13401,878,825
13417,846,882
13433,882,873
13448,875,831
13464,823,880
13479,881,867
13495,870,841
13511,828,877
13526,878,852
13542,859,850
13557,836,873
13573,874,820
13589,839,857
13604,842,866
