Time,Light,Avg
12509,780,834
12525,867,833
12540,846,834
12556,794,833
12571,865,832
12587,834,833
12603,809,833
12618,862,831
12634,816,832
12649,825,831
12665,858,829
12681,779,830
12696,842,830
12712,854,830
12727,761,830
12743,861,829
12759,849,830
12774,774,829
12790,865,829
12805,841,829
12821,789,829
12837,864,828
12852,830,828
12868,805,828
12883,861,826
12899,811,827
12915,822,827
12930,858,825
12946,773,826
12961,841,826
12977,854,826
12993,761,827
13008,864,826
13024,850,827
13039,776,827
13055,866,827
13071,843,828
13086,793,828
13102,864,827
13117,835,828
13133,809,828
13149,863,827
13164,820,829
13180,828,829
13195,861,828
13211,792,829
13227,848,829
13242,857,830
13258,767,830
13273,865,830
13289,854,832
13305,782,832
13320,867,831
13336,847,833
13351,797,833
13367,866,832
13383,838,833
13398,813,833
13414,864,832
13429,824,834
13445,830,834
13461,861,832
13476,794,833
13492,848,833
13507,857,833
13523,767,833
13539,869,833
13554,852,834
13570,779,834
13585,867,833
13601,845,834
13617,793,833
13632,865,833
13648,834,833
13663,809,833
13679,862,831
13695,815,832
13710,824,831
13726,858,829
13741,776,829
13757,841,829
13773,855,829
13788,759,829
13804,861,829
13819,849,829
13835,773,829
13851,866,828
13866,841,829
13882,790,829
13897,863,828
13913,830,828
13929,805,828
13944,861,826
13960,811,827
13975,822,827
13991,858,825
14007,776,826
14022,841,826
14038,854,826
14053,763,827
14069,864,826
14085,849,827
14100,776,827
14116,866,827
14131,844,828
14147,791,828
14163,865,827
14178,834,828
14194,809,828
14209,862,827
14225,821,829
14241,828,829
14256,860,828
14272,794,829
14288,846,829
14303,856,830
14319,767,830
14334,865,830
14350,853,831
14365,780,831
14381,867,831
14397,847,832
14412,795,832
14428,865,832
14443,837,833
14459,812,833
14475,863,832
14490,824,833
14506,829,833
14521,860,831
14537,794,832
14553,847,832
14568,857,832
14584,766,832
14599,868,832
14615,851,833
14631,777,833
14646,866,832
14662,843,832
14677,790,832
14693,864,831
14709,833,832
14724,806,832
14740,861,830
14755,814,830
14771,822,830
14787,858,828
14802,775,828
14818,840,828
14833,853,828
14849,757,828
14865,860,828
14880,848,828
14896,772,828
14911,865,827
14927,840,828
14943,787,827
14958,863,826
14974,829,827
14989,803,827
15005,860,825
15021,811,826
15036,820,826
15052,859,824
15067,775,825
15083,840,825
15099,854,826
15114,759,826
15130,862,826
15145,850,827
15161,774,827
15177,866,826
15192,843,827
15208,791,827
15223,864,827
15239,836,828
15255,809,828
15270,862,827
15286,822,828
15301,827,828
15317,860,827
15333,793,829
15348,847,829
15364,857,830
15379,767,830
15395,864,830
15411,852,831
15426,780,831
15442,867,831
15457,847,832
15473,795,832
15489,865,831
15504,837,832
15520,811,832
