Time,Light,Avg
11563,153,136
11578,119,81
11593,174,183
11608,254,268
11624,384,396
11640,551,566
11655,635,646
11671,773,787
11686,802,768
11702,768,767
11718,747,738
11733,598,583
11749,473,462
11764,378,362
11780,223,210
11796,112,96
11810,84,84
11824,426,438
11839,522,537
11855,639,651
11871,780,792
11886,767,767
11902,767,767
11917,745,735
11933,595,580
11949,470,459
11964,373,358
11980,219,207
11995,107,94
12010,84,86
12023,431,442
12039,528,543
12055,644,655
12070,785,797
12086,770,770
12101,768,769
12117,743,735
12133,589,575
12148,468,491
12164,369,319
12179,217,204
12195,140,129
12211,86,85
12224,273,290
12240,438,449
12255,535,551
12271,650,661
12287,792,800
12302,772,772
12318,769,768
12333,742,733
12349,586,572
12365,464,487
12380,365,349
12396,213,200
12411,136,130
12427,122,85
12441,192,201
12457,279,296
12473,406,419
12488,576,592
12504,654,666
12519,762,800
12535,805,771
12551,768,766
12566,737,728
12582,579,565
12597,457,445
12613,358,342
12629,207,194
12644,93,90
12658,195,204
12673,285,300
12689,410,423
12705,582,596
12720,658,670
12736,764,800
12751,806,806
12767,768,766
12783,735,725
12798,608,559
12814,453,441
12829,352,337
12845,202,189
12861,92,90
12874,197,207
12890,293,307
12905,414,428
12921,588,602
12937,660,673
12952,763,765
12968,804,803
12983,763,761
12999,693,718
13015,600,586
13030,447,433
13046,344,329
13061,230,183
13077,90,88
13090,202,213
13106,298,312
13122,420,433
13137,593,607
13153,666,677
13168,764,766
13184,806,805
13200,766,762
13215,691,679
13231,597,583
13246,443,429
13262,304,325
13278,227,180
13293,90,88
13307,209,222
13322,305,318
13338,427,441
13354,602,614
13369,673,683
13385,766,768
13400,806,806
13416,764,760
13432,686,673
13447,592,577
13463,437,423
13478,298,320
13494,223,212
13510,90,89
13523,211,225
13539,311,325
13554,433,447
13570,608,619
13585,678,688
13601,768,769
13617,807,806
13632,764,758
13648,682,669
13663,587,573
13679,433,418
13695,293,280
13710,218,208
13726,89,88
13739,217,230
13755,351,330
13771,438,451
13786,612,623
13802,681,691
13817,768,769
13833,808,807
13849,762,756
13864,676,663
13880,581,567
13895,427,412
13911,286,275
13927,215,204
13942,88,87
13956,187,235
13971,357,371
13987,443,457
14003,617,628
14018,720,695
14034,768,769
14049,807,806
14065,760,754
14081,670,658
14096,575,561
14112,421,406
14127,282,271
14143,211,199
14159,88,87
14172,192,204
14188,364,377
14203,449,463
14219,587,633
14234,725,701
14250,769,770
14266,807,806
14281,757,750
14297,666,654
14312,571,556
14328,416,401
14344,278,267
14359,207,195
14375,88,87
14388,197,208
14404,369,383
14420,455,469
14435,591,603
14451,729,740
14466,769,770
14482,772,806
14498,789,747
14513,661,650
14529,565,551
14544,410,395
14560,273,261
14576,203,190
14591,88,87
14605,203,214
14620,375,388
14636,460,475
14651,596,607
14667,733,745
14683,769,770
14698,772,805
14714,787,778
14729,656,645
14745,559,546
14761,439,389
14776,268,256
14792,198,183
14807,87,86
14821,206,219
14837,381,395
14852,465,481
14868,599,611
14883,737,751
14899,769,770
14915,771,771
14930,783,774
14946,652,638
14961,519,540
14977,434,417
14993,264,252
15008,192,178
15024,123,85
15038,147,156
15054,212,227
15070,350,399
15085,507,523
15101,604,615
15116,744,756
15132,804,770
15148,771,770
15163,780,770
15179,646,632
15194,513,499
15210,427,411
15226,259,247
15241,150,137
15257,123,122
15272,85,85
15286,356,370
15301,515,531
15317,608,620
15333,715,760
15348,805,771
15364,771,770
15379,776,766
15395,641,626
15411,507,494
15426,421,404
15442,254,242
15457,144,134
15473,123,122
15489,85,85
15502,363,376
15518,522,538
15533,614,625
15549,720,728
15565,805,806
15580,771,771
15596,738,761
15611,667,617
15627,501,488
15643,414,398
15658,249,236
15674,140,132
15689,123,123
15705,86,86
15719,368,381
15734,530,545
15750,619,630
15765,725,732
15781,806,807
15797,772,771
15812,733,756
15828,662,646
15843,495,482
15859,406,390
15875,279,232
15890,136,127
15906,123,122
15921,85,85
15935,375,387
15950,537,551
15966,624,635
15982,728,736
15997,806,806
16013,771,771
16028,727,716
16044,655,640
16060,489,477
16075,363,382
16091,273,261
16106,132,118
16122,122,122
16138,122,86
16152,282,297
16168,381,392
16183,509,559
16199,665,676
16215,730,744
16230,806,807
16246,806,771
16261,721,711
16277,647,632
16293,483,471
16308,354,339
16324,267,256
16339,126,109
16355,84,84
16369,290,304
16384,386,398
16400,516,530
16415,670,681
16431,736,751
16447,773,808
16462,806,770
16478,716,708
16493,639,624
16509,477,465
16525,346,332
16540,262,250
16556,119,101
16571,84,84
16585,297,311
16600,392,404
16616,524,538
16632,677,687
16647,744,759
16663,773,773
16678,805,803
16694,711,703
16710,598,617
16725,506,460
16741,339,324
16756,256,243
16772,109,94
16787,123,123
16802,149,158
16818,269,319
16833,434,445
16849,531,547
16865,683,694
16880,787,764
16896,772,772
16911,804,803
16927,706,697
16943,589,574
16958,501,489
16974,332,316
16989,214,201
17005,137,128
17021,84,83
17034,277,328
17050,440,451
17065,538,554
17081,687,700
17097,792,765
17112,772,772
17128,805,802
17143,703,694
17159,581,566
17175,495,483
17190,324,309
17206,207,195
17221,131,127
17237,84,84
17250,283,299
17266,445,458
17282,546,562
17297,659,706
17313,799,801
17328,772,772
17344,803,801
17360,734,690
17375,575,561
17391,490,477
17406,318,302
17422,201,189
17438,129,127
17453,85,84
17467,292,306
17482,451,464
17498,554,569
17514,666,677
17529,802,803
17545,773,773
17560,768,800
17576,731,684
17592,568,554
17607,484,471
17623,311,296
17638,197,185
17654,128,126
17670,84,84
17683,300,314
17699,458,472
17714,561,575
17730,672,681
17745,802,803
17761,773,773
17777,766,762
17792,727,714
17808,562,549
17823,443,464
17839,337,289
17855,191,181
17870,128,126
17886,85,85
17899,306,319
17915,464,477
17931,568,580
17946,675,684
17962,802,804
17977,773,772
17993,765,760
18009,722,709
18024,557,543
18040,437,458
18055,333,319
18071,185,176
18087,127,125
18102,121,84
18117,210,231
18132,311,327
18148,434,483
18164,608,620
18179,679,688
18195,803,804
18210,807,772
18226,762,757
18242,715,702
18257,550,536
18273,430,416
18288,327,313
18304,181,172
18320,88,87
18333,217,230
18349,317,332
18364,439,453
18380,613,624
18395,682,691
18411,768,803
18427,807,805
18442,760,755
18458,710,697
18473,579,529
18489,424,410
18505,320,309
18520,178,167
18536,88,87
18549,223,236
18565,322,337
18581,444,459
18596,618,629
18612,686,696
18627,768,769
18643,806,806
18659,758,751
18674,669,692
18690,572,523
18705,419,404
18721,315,303
18737,174,161
18752,87,86
18766,229,241
18781,330,344
18797,451,465
18813,622,634
18828,690,702
18844,768,770
18859,805,805
18875,754,747
18891,662,652
18906,566,552
18922,410,396
18937,308,297
18953,203,153
18969,86,85
18982,234,246
18998,338,351
19013,457,472
19029,628,639
19044,694,708
19060,768,769
19076,806,805
19091,751,742
19107,655,644
19122,557,543
19138,403,388
19154,267,291
19169,197,181
19185,85,85
19198,241,253
19214,377,356
19230,465,481
19245,634,645
19261,702,715
19276,769,770
19292,806,805
19308,747,738
19323,651,637
19339,553,539
19354,397,382
19370,262,251
19386,190,176
19401,86,85
19415,211,262
19430,385,364
19446,472,489
19461,640,651
19477,708,721
19493,770,771
19508,806,805
19524,743,734
19539,645,631
19555,546,532
19571,388,372
19586,256,244
19602,183,170
19617,84,84
19631,219,271
19647,393,407
19662,482,498
19678,647,658
19693,752,727
19709,771,771
19725,805,806
19740,740,729
19756,638,623
19771,539,526
19787,382,365
19803,251,239
19818,176,167
19834,85,84
19847,229,244
19863,399,413
19879,490,505
19894,616,663
19910,756,763
19925,771,771
19941,805,805
19957,768,722
19972,631,616
19988,532,519
20003,374,357
